,tfl_id,bikes,spaces,timestamp
662,39,15,8,07/02/2017 03:52
9769,142,14,10,07/02/2017 03:54
26788,17,6,15,07/02/2017 03:58
97843,15,10,13,07/02/2017 03:58
83439,25,8,16,07/02/2017 04:06
63332,149,10,13,07/02/2017 04:08
85847,45,9,11,07/02/2017 04:08
47834,95,1,25,07/02/2017 04:30
4422,42,11,12,07/02/2017 04:42
69249,155,8,10,07/02/2017 04:42
42254,121,10,13,07/02/2017 04:56
42813,155,8,10,07/02/2017 04:56
34029,56,4,18,07/02/2017 04:58
24243,145,2,21,07/02/2017 05:02
711,52,11,12,07/02/2017 05:12
11242,132,14,9,07/02/2017 05:14
30459,60,14,10,07/02/2017 05:22
5954,2,11,11,07/02/2017 05:24
4144,118,11,13,07/02/2017 05:34
28811,151,13,11,07/02/2017 05:38
97761,149,9,14,07/02/2017 05:38
62818,102,8,18,07/02/2017 05:44
8221,115,6,18,07/02/2017 05:56
92805,7,11,12,07/02/2017 05:56
69260,122,13,11,07/02/2017 06:00
5323,169,11,13,07/02/2017 06:12
95769,53,12,12,07/02/2017 06:20
32525,10,12,11,07/02/2017 06:22
83286,96,7,17,07/02/2017 06:24
6807,121,10,13,07/02/2017 06:26
23560,8,1,20,07/02/2017 06:30
93390,145,3,20,07/02/2017 06:32
10625,89,13,10,07/02/2017 06:40
17201,1,14,8,07/02/2017 06:44
85786,123,11,12,07/02/2017 06:46
44118,76,14,10,07/02/2017 06:48
34462,105,13,10,07/02/2017 06:50
76737,87,13,11,07/02/2017 06:50
3302,109,12,8,07/02/2017 07:06
89566,4,12,6,07/02/2017 07:08
76773,143,3,20,07/02/2017 07:16
6709,57,1,21,07/02/2017 07:18
99609,34,12,15,07/02/2017 07:18
19982,63,7,13,07/02/2017 07:20
44630,162,8,16,07/02/2017 07:24
47265,106,9,13,07/02/2017 07:38
57497,101,7,20,07/02/2017 07:46
78361,88,11,13,07/02/2017 07:48
91829,127,16,8,07/02/2017 07:48
10734,87,10,14,07/02/2017 07:50
2939,131,9,14,07/02/2017 07:56
31346,20,10,14,07/02/2017 07:58
42879,1,11,10,07/02/2017 08:02
54414,13,12,12,07/02/2017 08:20
45939,54,8,15,07/02/2017 08:22
96236,172,9,14,07/02/2017 08:28
69829,6,12,15,07/02/2017 08:38
91787,86,9,14,07/02/2017 08:38
5164,132,6,18,07/02/2017 08:40
9944,161,4,19,07/02/2017 08:44
96130,77,15,9,07/02/2017 08:46
52074,24,7,5,07/02/2017 08:52
54210,14,8,16,07/02/2017 08:56
65202,33,0,0,07/02/2017 08:56
30533,45,2,19,07/02/2017 09:00
1269,116,12,12,07/02/2017 09:02
76245,26,13,11,07/02/2017 09:04
28116,54,6,17,07/02/2017 09:12
45548,54,6,17,07/02/2017 09:14
13178,29,10,14,07/02/2017 09:20
74818,111,8,10,07/02/2017 09:22
49746,22,8,11,07/02/2017 09:24
54065,61,12,11,07/02/2017 09:24
87594,137,14,10,07/02/2017 09:32
93254,160,4,20,07/02/2017 09:32
62295,89,2,21,07/02/2017 09:40
3031,173,12,12,07/02/2017 09:46
4077,48,2,17,07/02/2017 09:48
31094,120,9,14,07/02/2017 09:52
17880,7,12,12,07/02/2017 09:54
66002,10,5,17,07/02/2017 10:00
15169,41,9,14,07/02/2017 10:30
43626,56,3,18,07/02/2017 10:32
10384,113,14,10,07/02/2017 10:44
86987,120,8,15,07/02/2017 10:54
29242,92,7,17,07/02/2017 10:58
95017,13,7,17,07/02/2017 11:00
86312,95,18,8,07/02/2017 11:16
31026,22,7,11,07/02/2017 11:18
50650,136,13,10,07/02/2017 11:30
61582,103,14,8,07/02/2017 11:58
81149,91,13,8,07/02/2017 12:00
38026,113,12,12,07/02/2017 12:36
46875,97,16,8,07/02/2017 12:52
94889,53,5,18,07/02/2017 13:02
28074,168,5,19,07/02/2017 13:08
